url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country / Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Surface-Mount-Technology-Ltd/1X00FM15,Manufacturer,Hong Kong,1986.0,"Design Services, Industrial Machinery, Parts & Raw Materials, Marketing & Public Relations, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Professional Services, Technology, R&D","Chinese Mainland, Japan, North America, Western Europe",1001 - 2000 ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO 9001 Certification - ISO 9001 - ISO 14001 Certification - ISO 14001 -,,,Mr Lawrence Chan,"General Manager, Corporate Development Dept.","Unit 15-20, 29/F., One Midtown, 11 Hoi Shing Road, Tsuen Wan, NT HK",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mobicon-Holdings-Ltd/1X04P3N4,"Export Agent, Exporter, Import Agent, Manufacturer",Hong Kong,1983.0,"Homeware & Lifestyle Essentials, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies, Scientific, Testing & Laboratory Equipments","Africa, Chinese Mainland, Eastern Europe, Hong Kong, Southeast Asia, Taiwan, Western Europe, Worldwide ODM OEM View details Factories & Facilities",,,,Ms Beryl Yeung,,"7/F., New Trend Centre, 704 Prince Edward Road East, San Po Kong, Kln., HK",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/See-Plus-Ind-l-Ltd/1X0009JQ,Manufacturer,Hong Kong,1980.0,"Automobile Parts & Accessories, Consumer Electronics, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies","Africa, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Southeast Asia, Taiwan, Western Europe, Worldwide",501 - 1000,"US$ 5,000,000 - 9,999,999","SEE-PLUS ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO 9001, ISO 14001, IATF 16949, RoHS, GMC - - - View details Factories & Facilities",Mr Billy Law,Business Development Manager,"UNIT D, 15/F, WORLD TECH CENTRE 95 HOW MING STREET KWUN TONG Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-HZY-Photoelectric-Technology-Co-Ltd/1S00O9IWU,,Chinese Mainland,,"Parts, Components & Raw Materials View details Factories & Facilities",,,,,Mrs Jennifer Chang,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Suzhou-UIGreen-Micro-Nano-Technologies-Co-Ltd-/1S00PETFY,"Manufacturer, Wholesaler","Suzhou, Jiangsu, Chinese Mainland",2012.0,"General Industrial Machinery, Parts, Electrical Electronic Supplies, Scientific, Testing & Laboratory Equipments","Chinese Mainland, Japan, Southeast Asia",,,,Miss YI WANG,Marketing Specialist,"No.80, Emeishan Road, New District Suzhou, Jiangsu No.196, Putuoshan Road, New District, Suzhou, Jiangsu, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chung-Yi-Enterprise-Hong-Kong-Co-Ltd/1X00J3HA,Manufacturer,Hong Kong,1990.0,"Consumer Electronics, Parts, Components & Electrical Supplies, Parts, Electrical Electronic Supplies, Telecommunication","Eastern Europe, Japan, North America, Other Asian Countries, Southeast Asia, Western Europe",101 - 200,"US$ 5,000,000 - 9,999,999 CUSTOMIZE OVERMOLDING OEM Certificate Name Issued By Certificate Type Valid Date UL - COMMUNICATIONS AUDIO/VIDEO-, DATA- AND OTHER SIGNALING-CIRCUIT ACCESSORIES UL - - UL - COMPONENT UL - - ISO 9001:2015 SGS ISO 9001 26 Nov 2023 - 02 Oct 2026 ISO 14001:2015 SGS ISO 14001 26 Nov 2023 - 22 Sep 2026 View details Factories & Facilities Research & Development",,Mr Patrick Chan,Sales Executive,"Unit B1, 9/F., Block B, Tonic Industrial Centre, 19 Lam Hing Street, Kowloon Bay, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fenghua-Hong-Kong-Electronics-Ltd-/1X00J44K,"Exporter, Manufacturer",Hong Kong,1994.0,"Consumer Electronics, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials",Worldwide,,"US$ 100,000 - 249,999","FENGHUA, KINGCAP, FEC AEC-Q200 OEM PASSIVE COMPONENTS",Mr Sunny Cheng,Marketing Executive,"Unit 614 Heng Ngai Jewelry Centre No. 4 Hok Yuen Street East, Hung Hom, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/General-Circuit-Int-l-Ltd/1X00JO9R,Manufacturer,Hong Kong,2003.0,"Consumer Electronics, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Telecommunication","Central & South America, Hong Kong, Japan, Scandinavia, Southeast Asia, Worldwide",,"US$ 10,000,000 - 49,999,999 Certificate Name Issued By Certificate Type Valid Date ISO 9001 - - - ISO 14001 - - - TS16949 - - -",,Mr Francis Dow,Sales Manager,"Room 2611-2612, Peninsula Tower, Cheung Sha Wan, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Golden-Resources-Metal-Industrial-limited/1X05VOKG,Manufacturer,Hong Kong,1998.0,"Building Materials & Supplies, Lights, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Professional Services, Real Estate",North America,1 - 5,"US$ 100,000 - 249,999 View details Factories & Facilities",,Ms Pinky Cheng,Sales Manager,"FlatA18, 6/F.,, New East Sun Ind.Bldg.,, 18, Shing Yip St.,, Kwun Tong, KLN.,Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/KARSEN-TECH-LIMITED/1S00PBYXB,,Hong Kong,,"Information Technology, Parts, Components & Raw Materials View details Factories & Facilities",,,,,Ms Bessie Wong,,,Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Maxtech-Circuit-HK-Limited/1X07SZ4Z,"Distributor, Exporter, Manufacturer",Hong Kong,2010.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials","Eastern Europe, North America, Other Asian Countries, Western Europe, Worldwide",1 - 5,"US$ 1,000,000 - 4,999,999 Certificate Name Issued By Certificate Type Valid Date ISO9001:2000 - ISO 9001 - View details Factories & Facilities Research & Development Quality Control",,Mr Stephen Fong,Director,"Room A, 7/F Queen's Centre 58-64 Queen's Road East Wanchai Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mecca-Electronics-Co-Ltd/1X00CWC0,"Exporter, Manufacturer",Hong Kong,1993.0,"Consumer Electronics, Engineering, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials",Worldwide,11 - 15,"US$ 10,000,000 - 49,999,999 View details Factories & Facilities Research & Development Quality Control",,Ms Silvia Lee,Assistant Customer Service Supervisor,"Room 406, 4/F Kinox Centre 9 Hung To Road Kwun Tong, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nam-Hing-Circuit-Board-Co-Ltd/1X006H8D,Manufacturer,Hong Kong,1977.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials",Worldwide,201 - 500,"US$ 5,000,000 - 9,999,999",Nam Hing View details Factories & Facilities Quality Control,Ms Lau May,Sales Manager,"Unit 704, Yuen Long Trading Centre, 33 Wang Yip Street West, Yuen Long, Hong Kong.",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SGST-HK-LTD/1X05A3ZS,Manufacturer,Hong Kong,1993.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials","Japan, Korea, Taiwan, Western Europe",201 - 500,"US$ 10,000,000 - 49,999,999 ODM OEM View details Factories & Facilities",,Mr Brian Tang,Marketing Manager,"Rm 1505, 15/F Peninsula Tower 538 Castle Peak Road Lai Chi Kok, Kln., HK",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ABO-ELECTRONICS-SHENZHEN-CO-LTD/1X064NTA,"Exporter, Manufacturer, Service Company","Shenzhen, Guangdong, Chinese Mainland",2004.0,"Bags, Handbags & Accessories, Consumer Electronics, Design Services, Engineering, Internet of Things, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies","Australasia, Central & South America, Hong Kong, Japan, North America, Other Asian Countries, Worldwide",201 - 500,"US$ 10,000,000 - 49,999,999",OEM/ODM/EMS ODM WIFI Bluetooth Power Management GPS Technology Wireless charging /Lithium Battery Charging Solar technologies Sensor technologies Certificate Name Issued By Certificate Type Valid Date ISO9001 Certificate SGS ISO 9001 18 Nov 2020 - 13 Oct 2022 ISO13485 Certificate SGS ISO 13485 18 Nov 2020 - 13 Oct 2022 View details Factories & Facilities Research & Development Quality Control,Mr Share Xia,CEO,"Building J, Shengguang Ind Park, , No.152 Donghuan Road,HuangPu,XinQiao, Baoan , Shenzhen Republic of China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Anhui-Golden-Vision-Optoelectronic-Technology-Co-Ltd/1X09RMTD,,Chinese Mainland,,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies Certificate Name Issued By Certificate Type Valid Date IATF USI:LRCSTP NQA IATF16949 18 Jun 2023 - 17 Jun 2026 company profile award produce line Golden Vision Catalogue products",,,,,Kevin Wang,Sales Manager,"Golden-Vision Technology Park, Yao Shun Industrial Area, Xiun, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Cixi-Zhongyi-Electronics-Factory/1X0AO4I6,Manufacturer,"Ningbo, Zhejiang, Chinese Mainland",1990.0,"Consumer Electronics, Parts, Components & Electrical Supplies, Parts, Electrical Electronic Supplies, Scientific, Testing & Laboratory Equipments","Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, North America, Other Asian Countries, Scandinavia, Western Europe, Worldwide",51 - 100,"US$ 1,000,000 - 4,999,999",ZY Certificate Name Issued By Certificate Type Valid Date rohs BST Others 10 Jul 2019 - (N/A),Ms Youdong Du,,"Linxi Yuxiang Road, Xiaolin Town, Cixi City, Zhejiang Provin, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Pinsheng-Precision-Electronics-Co-Limited/1S00OJMDB,"Manufacturer, Wholesaler","Shenzhen, Guangdong, Chinese Mainland",2006.0,"Parts, Components & Electrical Supplies","Australasia, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Taiwan, Western Europe",201 - 500,"US$ 50,000,000 - 99,999,999",Pingsheng PCB manufacturing PCB Assembly Fr-4 PCB Aluminum PCB LED PCB Single Layer PCB Double Layer PCB Multi-layer PCB View details Factories & Facilities Research & Development Quality Control,Ms Yi Huang,,"the third floor,the fourth building,Wanxia industrial park,S",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-New-Sanhe-Enclosure-Co-Ltd-/1X08PP3U,"Exporter, Manufacturer","Ningbo, Zhejiang, Chinese Mainland",1987.0,"Industrial Machinery, Parts & Raw Materials, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies, Plastic Packaging","Chinese Mainland, Eastern Europe, Korea, Middle East, North America, Western Europe",501 - 1000,"US$ 1,000,000 - 4,999,999",Sanhe ODM OEM View details Factories & Facilities,Ms Candy Wang,Sales Manager,"88# Zongxing Road, Development Av., Cixi, Ningbo, Ningbo",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Okystar-Technology-Co-Ltd/1X09TBHM,"Exporter, Wholesaler","Shenzhen, Guangdong, Chinese Mainland",2004.0,"Consumer Electronics, Educational Toys, Gifts, Toys & Sports Supplies, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies, Scientific, Testing & Laboratory Equipments, Toy Vehicles","Australasia, Central & South America, Eastern Europe, North America, Scandinavia",16 - 25,"US$ 1,000,000 - 4,999,999 ODM OEM",,Ms Teng Erica,sales manager,"Room1105, Block B, Chinto Technology Building, Minzhi Main Road, LongHua, ShenZhen,",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SANSHI-ELECTRIC-CO-LTD-/1S00OCH7Y,"Exporter, Manufacturer","Wenzhou, Zhejiang, Chinese Mainland",1995.0,"Parts, Electrical Electronic Supplies","Eastern Europe, Korea, Scandinavia, Southeast Asia, Western Europe",51 - 100,"US$ 250,000 - 499,999","E-LINDER,LINDNER FUSE FUSE SWITCH INVETER Certificate Name Issued By Certificate Type Valid Date UL UL LLC. Others 30 Jan 2018 - (N/A) ISO 14001:2015 NSY Certification (Shanghai) Co., Ltd. ISO 14001 26 Mar 2021 - (N/A) ISO 9001:2015 NSY Certification (Shanghai) Co., Ltd. ISO 9001 12 Apr 2023 - (N/A) ISO 45001:2018 NSY Certification (Shanghai) Co., Ltd. ISO 45001 12 Apr 2023 - (N/A) CE Intertek Others 23 Dec 2020 - (N/A) View details Factories & Facilities Research & Development Quality Control",Mr Hua Zheng,,"Xirendang Industrial Zone Liushi Yueqing, Zhejiang China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Luguang-Electronic-Technology-Co-Ltd/1X07DLNM,"Exporter, Manufacturer, Wholesaler","Shenzhen, Guangdong, Chinese Mainland",2002.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials","Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Korea, Middle East, North America, Other Asian Countries, Western Europe, Worldwide",201 - 500,"US$ 10,000,000 - 49,999,999",LGE ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO9001 - ISO 9001 - ISO14001:2004 - ISO 14001 - View details Factories & Facilities Quality Control factory facility workshop 1 workshop2,Ms Judy He,Sales Manager,"RM1407, B Block,Haisong Building, Terra 9rd,Chegongmiao, Futian District, Shenzhen, Guangdong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/TAT-Electronics-Co-Ltd/1X09SEXX,,Chinese Mainland,,"Consumer Electronics, Internet of Things",,,,,Ruihua Xi,Sales Manager,"Rm. 606, Bldg. 5, Pengyi Garden, Bagua 1st Rd, Futian Dist, Shenzhen, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/UAC-CORPORATION/1S00PD587,"Distributor, Exporter, Importer","Tokyo, Japan",1982.0,"Parts, Components & Electrical Supplies","Hong Kong, North America, Other Asian Countries, Southeast Asia, Western Europe, Worldwide",6 - 10,"US$ 10,000,000 - 49,999,999",Fujicon Fujicon PCB Terminal Catalogue Fujicon Connection Terminal Catalogue Fujicon Industrial Terminal Catalogue,Mr TOMOAKI TSUMAGARI,International Business Group Leader,"9F, Saiwai BLDG expert office 1-3-1, Uchisaiwaicho, Chiyoda, Tokyo, Japan",Japan
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Junlin-Electric-Technology-Co-Ltd-/1S00OGNTY,,Chinese Mainland,,"Lights, Parts, Components & Electrical Supplies",,,,,Jia-Lin Ni,,"Shahu Industrial Zone., Liushi Town, Yueqing, Wenzhou, Zhejiang, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/China-Zhenhua-Electronics-Group-Co-LTD/1S00PERC9,,Chinese Mainland,,,,,,,Yi Li,,"No. 3388, Baijin Avenue, Baiyun District, Guiyang, Guizhou, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fujian-CNK-Electronics-Co-Ltd/1S00OTJT2,"Manufacturer, Wholesaler","Shenzhen, Guangdong, Chinese Mainland",2010.0,"Parts, Components & Raw Materials","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",501 - 1000,"US$ 10,000,000 - 49,999,999",CNK OEM costom made LCD TFT HMI OLED AI Pet Robot LCM View details Factories & Facilities Research & Development Quality Control Display Screen Module Product Catalogue AI Robotic Pet,Mr Gary Shi,Overseas Sales Director,"11F, Block B, Meixun Technology Park Pingshan, Shenzhen, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Acoustic-Dynamics-Limited/1X03SL81,"Exporter, Manufacturer",Hong Kong,2003.0,,Worldwide,51 - 100,"US$ 500,000 - 999,999 View details Factories & Facilities",,Ms Landy Lau,Managing Director,"Unit 16, 7/F., Wah Shing Centre 11-13 Shing Yip Street Kwun Tong, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/fai-wong-star-electronic-company-limited/1X06QWGW,Manufacturer,Hong Kong,,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials",Worldwide,,,,Mr Gai Pin Huang,,"RM3,14/F KIN GA IND.BLDG,NO.9 SAN ON ST,TUEN MUN, Kin Ga Industrial Building, 9 San On Street, Tuen Mun, New Territories, Hong Kong.",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Lung-Wah-Company-Limited/1S00OG02U,,Hong Kong,,"Consumer Electronics, Parts, Electrical Electronic Supplies",,,,,Annie Chan,Director,"Unit 6, 16/F, Eastern Harbour Ctr, 28 Hoi Chak St, Quarry Bay, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Changzhou-Cre-sound-Electronics-Co-ltd/1S00P15A1,,Chinese Mainland,,,,,,,Ms Sally Lu,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chengdu-sinochips-technology-Co-Ltd/1S00PF1TK,Exporter,"Chengdu, Sichuan, Chinese Mainland",2021.0,"Parts, Components & Raw Materials, Scientific, Testing & Laboratory Equipments","Eastern Europe, Southeast Asia",6 - 10,"US$ 250,000 - 499,999",,Mr Tao Bu,Manager,"Room 2116,21/F Building 5, No.89,Hezuo Road, ChengDu City, Sichuan Province China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chenzhou-Haili-Microelectronics-Technology-Co-Ltd-/1S00ON4JB,,Chinese Mainland,,,,,,,Xu Longbin,,"Building 1, Xiangshan Standard Workshop, Zhujiang Avenue, High-tech Development Zone, Chenzhou, Hunan Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Cixi-KEFA-Electronics-Co-Ltd-/1X03YYUC,"Exporter, Manufacturer","Ningbo, Zhejiang, Chinese Mainland",,"Consumer Electronics, Parts, Components & Electrical Supplies",,,,,Mr Guorui Huang,Manager,"Xiaolin Road Industrial Area, Cixi City, Ningbo, Zhejaing 315321, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Focus-Sensing-and-Control-Technology-Co-LTD/1S00OWE3D,,Chinese Mainland,,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies",,,,,Zhao Jing,,"No.1 XiSan Road, Electromechanical Industry Park , High&New Tech.Zone., Hefei,Anhui, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guang-Dong-Sunran-Electronic-Technology-Co-Ltd-/1S00PF3IF,,Chinese Mainland,,,,,,,KAIRONG CHEN,,"No.1,DUYE South Road,duning industrial Zone, Bijiang community,Beijiao TOWN,Shunde DISTRICT, Foshan City, Guangdong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Chuangerli-Electronics-Co-Ltd/1S00PETE1,,Chinese Mainland,,,,,,,Jay Wong,Manager,"5th/6th Floor, Building A1, No. 88 Chaoyang Road, Huadong Town, Huadu District, Guangzhou, Guangdong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/GUANGZHOU-HAINA-IMP-EXP-CO-LTD/1S00PEU4U,,Chinese Mainland,,,,,,,Miss Lidia Huang,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/JS-Technology-Co-Ltd/1S00O64RN,"Exporter, Manufacturer, Service Company","Shenzhen, Guangdong, Chinese Mainland",2003.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies","Central & South America, Middle East, North America, Southeast Asia, Worldwide",201 - 500,"US$ 500,000 - 999,999",PCBAsic,Miss apple tian,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/JIANGSU-ZHONGXINHUA-ELECTRONIC-TECHNOLOGY-CO-LTD/1S00OI2B1,,Chinese Mainland,,,,,,,Shao Jiaying,,"west of Wangwang Road 5, east of Wangwang Road 2 South of 235 Provincial Ro Lianshui County North of Xingsheng Road, Huai'an City,Jiangsu Province",Chinese Mainland
