url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country/Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Crown-Win-Package-Co-Ltd-/1X09ZUXL,Manufacturer,"Dongguan, Guangdong, Chinese Mainland",2008.0,"Educational Toys, Paper Packaging, Plastic Packaging","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",26 - 50,"US$ 250,000 - 499,999",Crownwin View details Factory & Facility,Ms Brina Guan,Manager,"Building C, Shichang 6 Lane, Shuanglong Road, Xiaobian Area, Changan Town, Dongguan City, Guangdong, China 523849",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Detai-Paper-Products-Co-Ltd/1X05WKOO,Manufacturer,"Dongguan, Guangdong, Chinese Mainland",2010.0,"Gift Packaging, Gifts, Toys & Sports Supplies, Paper Packaging, Stationery","Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",201 - 500,"US$ 100,000,000 - 249,999,999",Detai ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO9001 - ISO 9001 - Disney supplier certification - - - GSV反恐认证 - - - View details Factory & Facility GSV certification ISO certification Disney supplier certification,Ms Melody Nie,Manager,"12 Shenxi Rd., Baihao District, Houjie Town, Dongguan City, Guangdong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Fullbright-Printing-Industry-Company/1X08HJA5,Manufacturer,"Dongguan, Guangdong, Chinese Mainland",1990.0,"Gift Packaging, Gifts, Toys & Sports Supplies, Paper Packaging, Stationery","Central & South America, Eastern Europe, North America, Western Europe",501 - 1000,"US$ 5,000,000 - 9,999,999",FULLBRIGHT ODM OEM,Mr Sky Wang,Marketing Manager,"9, Daigouzui Jude, Xinji Road, Dafeng Industrial Area, Wanjiang District, Dongguan, Guangdong, China.",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Jolly-Industries-Limited/1S00OQRUR,,Chinese Mainland,,"Bags, Handbags & Accessories, Gifts / Souvenirs, Packaging & Displaying Materials, Paper Packaging",,,,,Xiangyan Zhou,,523120 中國廣東省東莞市 東城街道桑園 銀湖路9號二號樓,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Lucky-Color-Industry-Co-Ltd-/1X09FV78,Manufacturer,"Dongguan, Guangdong, Chinese Mainland",2004.0,"Food & Beverage, Furniture & Parts, Gift Packaging, Gifts, Toys & Sports Supplies, Jewellery & Watch, Packaging & Displaying Materials, Packaging Materials, Paper Packaging, Stationery","Eastern Europe, Hong Kong, Japan, Middle East, Scandinavia",201 - 500,"US$ 10,000,000 - 49,999,999","LUCKY COLOR Certificate Name Issued By Certificate Type Valid Date GB/T19001-2016/ISO9001:2015 Shenzhen Modi International Testing Certification Co., Ltd. ISO 9001 10 Mar 2025 - 09 Mar 2028 GB/T24001-2016/ISO14001:2015 Shenzhen Modi International Testing Certification Co., Ltd. ISO 14001 10 Mar 2025 - 09 Mar 2028 FSC ESTS FSC 08 Dec 2023 - 07 Dec 2028 ecovadis ecovadis Others 16 Oct 2024 - 16 Oct 2025 LOREA intertek Others 03 Aug 2023 - 03 Aug 2025 Show More View details Factory & Facility Research & Development Quality Control",Miss Mandy Xu,Sales Manager,"No. 26 Heshi Road, Heken 2nd Inudstrial Zone, Qiaotou Town, Dongguan City, Guangdong Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-New-Start-Hardware-Technology-Co-Ltd-/1S00O7TFY,Manufacturer,"Dongguan, Guangdong, Chinese Mainland",2021.0,,"Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Taiwan",51 - 100,"US$ 1,000,000 - 4,999,999","New Start Certificate Name Issued By Certificate Type Valid Date GB/T19001-2016/ISO9001:2015 Kaixin Certification (Beijing) Co., Ltd. ISO 9001 21 Apr 2022 - 20 Apr 2025 View details Factory & Facility Research & Development Quality Control",Ms Huiling Peng,Sales Manager,"No. 67 Meilin Road, Meilin Village Dalinshan Town China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Nodiman-Present-Packaging-Plant/1X04PGPZ,"Exporter, Manufacturer","Dongguan, Guangdong, Chinese Mainland",2001.0,"Gifts, Toys & Sports Supplies, Jewellery & Watch, Packaging & Displaying Materials, Smokers' Accessories, Watches & Clocks","Korea, Middle East, North America",,,,Miss Rita Yang,Sales Manager,"Zhengxi Industrial Area, Tangjiao Village, Chashan Town, Dongguan City, Guangdong 523393, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Pengcheng-JES-Packaging-Product-Co-Ltd-/1S00P0QGY,,Chinese Mainland,,Paper Packaging,,,,,Ava -,SALES,"523763, 3rd Floor, Building D, No.16 Hudie 1st Rd, Tianxin Village, Huangjiang Town, Dongguan, Guangdong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-City-XinYu-Tin-Can-Manufactory-Co-Ltd/1X09FZW7,,Chinese Mainland,,"Festive Supplies, Gift Packaging, Gift Sets, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Metal Packaging, Stationery",,,,,- Guan,General Manager,"No.5, Xinhe 1st Road, Shitanbu Management Zone, Dongguan City, Tangxia Town, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Zhizun-Industrial-Company-Limited/1X08JAES,Manufacturer,"Dongguan, Guangdong, Chinese Mainland",,"Food & Beverage, Gift Packaging, Gifts, Toys & Sports Supplies, Jewellery & Watch, Packaging & Displaying Materials, Packaging Materials, Paper Packaging, Stationery",Worldwide,,,,Sandy -,Sales Manager,Dongguan,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Tianyi-Metal-Products-Co-Ltd-/1X0AQHI3,"Exporter, Manufacturer","Guangzhou, Guangdong, Chinese Mainland",2015.0,"Food & Beverage, Gift Packaging, Gifts, Toys & Sports Supplies, Metal Packaging, Packaging Materials, Stationery","Chinese Mainland, Scandinavia, Western Europe, Worldwide",101 - 200,"US$ 5,000,000 - 9,999,999 ODM OEM",,Mr Tsang -Donny,Sales,"lixin 6 Road, Xianchun Town Xiancun Town, Zengcheng District, Guangzhou, Guangdong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Yameva-Leather-Manufacture/1S00OO1OZ,Manufacturer,"Guangzhou, Guangdong, Chinese Mainland",2018.0,"Bags, Handbags & Accessories, Beauty Supplies, Gift Packaging, Gifts / Souvenirs, Homeware & Lifestyle Essentials, Packaging & Displaying Materials, Packaging Materials, Sports Supplies, Stationery, Wedding Gifts & Accessories","Central & South America, Hong Kong, Japan, Korea, Middle East, North America, Southeast Asia, Worldwide",51 - 100,"US$ 1,000,000 - 4,999,999",yameva View details Factory & Facility Quality Control Skincare case Mooncake box Jewelry case,Ms Xu -,GENERAL MANANGER,6TH FLOOR.NO 8. HE BIAN EAST ROAD SHI LING TOWN. GUANG ZHOU CHINA,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SHANGHAI-XINXIANG-PACKAGE-CO-LTD-/1S00OVW6M,Manufacturer,"Shanghai Shi, Shanghai, Chinese Mainland",2006.0,"Bags, Handbags & Accessories, Gift Packaging, Paper Packaging","Eastern Europe, Japan, Korea, Scandinavia, Western Europe Luxury Paper Bag Rigid Gift Box Paper Cartons Folding Rigid Box Cosmetic Box E-commerce Paper Bag Corrugated Box Sustainability Certificate Name Issued By Certificate Type Valid Date ISO9001 YOUKASI ISO 9001 07 Mar 2025 - (N/A) FSC FSC FSC 15 Dec 2019 - (N/A) SEDEX SEDEX SEDEX 29 Mar 2025 - (N/A)",,,,Ms Vera Wang,,"SHANGHAI XINXIANG PACKAGE CO.,LTD NO 89 Xinmiaosan Hwy Shanghai-songjiang China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shantou-GLD-Arts-Crafts-Co-Ltd/1X00QCS8,"Exporter, Manufacturer","Shantou, Guangdong, Chinese Mainland",1995.0,"Clothing/ Garments, Fashion, Eyewear & Accessories","Australasia, Eastern Europe, Hong Kong, Japan, Korea, North America, Other Asian Countries, Western Europe",201 - 500,"US$ 5,000,000 - 9,999,999 ODM OEM",,Miss Chen Nadine,Manager,"Pengnan Industrial Zone, Waisha Town, Longhu District, Shantou City, Guangdong, Shantou, Guangdong, China.",Chinese Mainland
