url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country / Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Diverxu-Limited/1X0AZ0QA?fairCode=hkfoodexpo&locale=en,Importer,Hong Kong,2011.0,"Food, Gifts / Souvenirs",Hong Kong,1 - 5,"US$ < 50,000 canned tapas catering services hamper services corporate workshop",,Ms Yuen Ling Wong,Business Development Manager,"Unit A, 7/F, Phase 2 Wah Fung Industrial Centre 33-39 Kwai Fung Crescent Kwai Chung, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tristar-Industrial-Ltd/1X03XZFO?fairCode=hkfoodexpo&locale=en,,Hong Kong,,,,,,,Jessica Fan,Sales and Marketing Department,"Unit F, 18/F, Blk 2, Golden Dragon Ind Ctr, 162-170 Tai Lin Pai Rd, Kwai Chung, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Urban-Dining-Limited/1S00OFE3D?fairCode=hkfoodexpo&locale=en,,Hong Kong,,,,,,,Mr Felix Wong,,,Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Great-HK-Investment-Company-Limited/1X09T19O?fairCode=hkfoodexpo&locale=en,,Hong Kong,,,,,,,Mr Boris Cheung,,,Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ILIFA-HONG-KONG-LIMITED/1S00P3T4V?fairCode=hkfoodexpo&locale=en,,Hong Kong View details Factories & Facilities,,,,,,,Miss Vivien Chiu,,,Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/LY-Drinks-Bites-Ltd/1X095LFU?fairCode=hkfoodexpo&locale=en,"Distributor, Importer, e-tailer",Hong Kong,2015.0,"Alcoholic Beverages, Food & Beverage",Hong Kong,1 - 5,,,Mr Stanley Yeung,Director,"Unit K, 23/F, King Palace Plaza, 55 King Yip Street, Kwun Tong, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/P-J-Food-HK-Limited/1X0B5KJT?fairCode=hkfoodexpo&locale=en,,Hong Kong,,"Beverages, Food View details Factories & Facilities",,,,,Ms Debbie Wong,,,Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Georgian-Vino-Company/1S00P3QGY?fairCode=hkfoodexpo&locale=en,"Importer, Retailer, Wholesaler",Hong Kong,2025.0,Alcoholic Beverages,Hong Kong,1 - 5,,"Shumi, Jimsher, Quindi, KGM, KTW, Atto Primo, Bagrationi 1882, Dugladze",Ms Venessa Chu,Director,"Unit 28, G/F, Wing Fung Ind Bldg, 40-50 Sha Tsui Rd, Tsuen Wan, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Koon-Wah-Food-Preserved-Fruit-Fty-Ltd/1X05F6RR?fairCode=hkfoodexpo&locale=en,"Distributor, Exporter, Manufacturer, Retailer, Wholesaler, e-tailer",Hong Kong,1994.0,"Food, Food & Beverage","Africa, Australasia, Central & South America, Chinese Mainland, Hong Kong, Japan, Middle East, North America, Other Asian Countries, Southeast Asia, Taiwan",26 - 50,,Koon Wah Provisions,Mr Yip Vincent,Executive Manager,"Flat I, 1/F, Block 2, Kwai Tak Industrial Centre, 15-33 Kwai Tak Street, Kwai Chung, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/New-Base-Trading-Co/1X05OXOL?fairCode=hkfoodexpo&locale=en,Import Agent,Hong Kong,,"Food, Food & Beverage",Hong Kong,1 - 5,,"Camel, Carman's, Kitchen 88, Frezfruta",Miss Eva So,Director,"Unit 1805, 18/F, Tsuen Wan Industrial Centre, 220-248 Texaco Road, Tsuen Wan, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ping-Shan-Foods-Company-Limited/1X0AULLO?fairCode=hkfoodexpo&locale=en,,Hong Kong,,"Beverages, Food & Beverage",,,,,Kathy Choi,Assistant to General Manager,"2/F , Seaview Comm. Bldg, 21-24 Connaught Rd. West, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/San-Yie-International-Holdings-Limited/1X05S0ND?fairCode=hkfoodexpo&locale=en,Manufacturer,Hong Kong,2000.0,"Food, Health Care & Medical Supplies","Chinese Mainland, Hong Kong",6 - 10,"US$ 500,000 - 999,999","San Yie, B+b San Yie B+b Certificate Name Issued By Certificate Type Valid Date ""STC Tested"" Mark HKSTC - (N/A) - 04 Nov 2021",Ms Hau Ling Cheung,General Manager,"Room 921, 9/F, World-wide Industrial Centre, 43-47 Shan Mei Street, Fotan Shatin, New Territories",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chongqing-Municipal-Commission-of-Commerce/1S00NOKUY?fairCode=hkfoodexpo&locale=en,Government,"Chongqing Shi, Chongqing, Chinese Mainland",,,,,,,Mr Zerui He,,Building 2 No. 162 Nanbin Road Nan'an District China,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kurozu/1S00O38ZV?fairCode=hkfoodexpo&locale=en,,Hong Kong,,"Beverages, Food & Beverage",,,,,Didio Wong,Marketing Manager,"Unit F, 26/F, Block 20, Fu Hing Yuen, Chi Fu Fa Yuen, 20 Chi Fu Road, Pok Fu Lam, Hong Kong",Hong Kong
